dataset;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
San Francisco cab (Airport <-> Mall);DTWaClassifierTest;cross-validation;0.6179874213836477;0.6805734973904668;0.7229781572249394;0.7006281633081625;0.433965328965329;0.566034671034671;0.3194265026095331
Dublin bus(lines=2);DTWaClassifierTest;cross-validation;0.744881047848169;0.9675925925925926;0.4915240787581213;0.649850361154709;0.9864893617021278;0.013510638297872335;0.032407407407407406
Dublin bus(lines=2);MSMMovePointsClassifierTest;cross-validation;0.9953755680299385;1.0;0.990909090909091;0.9953488372093023;1.0;0.0;0.0
San Francisco cab (Airport <-> Mall);MSMMovePointsClassifierTest;holdout;0.6724137931034483;0.7788461538461539;0.7043478260869566;0.7397260273972603;0.6101694915254238;0.38983050847457623;0.22115384615384615
New York bus(lines=2);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
New York bus(lines=2);DTWaClassifierTest;cross-validation;0.5095325576648295;0.5862734487734488;0.3374194076845847;0.3708723059116119;0.7182635934224086;0.2817364065775913;0.4137265512265512
Dublin bus(lines=2);DTWaClassifierTest;holdout;0.7202797202797203;0.9714285714285714;0.4657534246575342;0.6296296296296297;0.9857142857142858;0.014285714285714235;0.02857142857142857
San Francisco cab (Airport <-> Mall);MSMMovePointsClassifierTest;cross-validation;0.6425696316262354;0.7312869890509888;0.7428322504155803;0.7356168944276693;0.5446246246246246;0.4553753753753754;0.26871301094901134
New York bus(lines=2);DTWaClassifierTest;holdout;0.6260869565217392;0.6039603960396039;0.953125;0.7393939393939394;0.21568627450980393;0.7843137254901961;0.39603960396039606
New York bus(lines=2);MSMMovePointsClassifierTest;cross-validation;0.9771381914676465;0.9886762360446572;0.975013562737348;0.9815460796121537;0.988562091503268;0.01143790849673203;0.011323763955342903
San Francisco cab (Airport <-> Mall);DTWaClassifierTest;holdout;0.5804597701149425;0.6721311475409836;0.7130434782608696;0.6919831223628692;0.3220338983050847;0.6779661016949152;0.32786885245901637
Dublin bus(lines=2);MSMMovePointsClassifierTest;holdout;1.0;1.0;1.0;1.0;1.0;0.0;0.0
