dataset;stop-semantic;measure;test-type;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
Geolife University;STOP_REGION;DTWaClassifierTest;cross-validation;0.9166666666666667;0.9274725274725275;0.8333333333333333;0.870857142857143;0.9905128205128205;0.009487179487179498;0.07252747252747252
Geolife University;STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;cross-validation;0.7194444444444443;0.3156520333090791;0.7247619047619047;0.3604716920506394;0.6306482386337195;0.3693517613662804;0.6843479666909208
Geolife University;STOP_REGION;H_MSM_StopMove_AngleClassifierTest;holdout;0.6974789915966386;0.8823529411764706;0.75;0.8108108108108107;0.9493670886075949;0.05063291139240511;0.11764705882352941
Geolife University;STOP_REGION;MSTPClassifierTest;holdout;0.4117647058823529;1.0;0.225;0.36734693877551017;1.0;0.0;0.0
Geolife University;STOP_REGION;H_MSM_StopMove_AngleClassifierTest;cross-validation;0.6944444444444444;0.38543956043956046;0.29857142857142854;0.3082953761214631;0.9157350272232305;0.0842649727767695;0.6145604395604396
Geolife University;STOP_REGION;SWALEClassifierTest;cross-validation;0.43611111111111106;0.22884194053208134;0.8114285714285714;0.24892580287929125;0.19605937921727395;0.8039406207827261;0.7711580594679186
Geolife University;STOP_REGION;DTWaClassifierTest;holdout;0.9327731092436975;1.0;0.925;0.961038961038961;1.0;0.0;0.0
Geolife University;STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;cross-validation;0.5111111111111112;0.22619666100735708;0.5190476190476191;0.29460953705435877;0.6924114663316115;0.30758853366838845;0.7738033389926429
Geolife University;STOP_REGION;EDRClassifierTest;holdout;0.8571428571428571;0.9487179487179487;0.925;0.9367088607594937;0.9746835443037974;0.025316455696202556;0.05128205128205128
Geolife University;STOP_REGION;MSMClassifierTest;holdout;0.680672268907563;0.8;0.7;0.7466666666666666;0.9113924050632911;0.08860759493670889;0.2
Geolife University;STOP_REGION;SWALEClassifierTest;holdout;0.4957983193277311;1.0;0.0;0.0;1.0;0.0;0.0
Geolife University;STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;cross-validation;0.8166666666666667;0.5376068376068376;0.6509523809523811;0.5766994478951;0.9023398017590395;0.09766019824096048;0.4623931623931624
Geolife University;STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;holdout;0.6386554621848739;0.925;0.925;0.925;0.9620253164556962;0.03797468354430378;0.075
Geolife University;STOP_REGION;CVTIClassifierTest;holdout;0.42016806722689076;1.0;0.225;0.36734693877551017;1.0;0.0;0.0
Geolife University;STOP_REGION;CVTIClassifierTest;cross-validation;0.5722222222222222;0.3640882969540017;0.8266666666666665;0.3143359613410418;0.48951370468611843;0.5104862953138815;0.6359117030459982
Geolife University;STOP_REGION;EDRClassifierTest;cross-validation;0.7222222222222221;0.3776018099547511;0.7509523809523809;0.36405849103239907;0.6092042440318303;0.39079575596816973;0.6223981900452489
Geolife University;STOP_REGION;MSMClassifierTest;cross-validation;0.725;0.6477472527472528;0.5628571428571428;0.5943722943722943;0.9472734887616922;0.05272651123830794;0.35225274725274724
Geolife University;STOP_REGION;MSTPClassifierTest;cross-validation;0.5638888888888889;0.35849360435086436;0.8266666666666665;0.3068066167198279;0.4668346595932803;0.5331653404067197;0.6415063956491356
Geolife University;STOP_REGION;LCSSClassifierTest;cross-validation;0.788888888888889;0.3846001347743508;0.8;0.29720994569779197;0.5762953138815208;0.4237046861184792;0.6153998652256492
Geolife University;STOP_REGION;LCSSClassifierTest;holdout;0.6050420168067226;0.9302325581395349;1.0;0.963855421686747;0.9620253164556962;0.03797468354430378;0.06976744186046512
Geolife University;STOP_REGION;wDFClassifierTest;holdout;0.9411764705882353;0.975;0.975;0.975;0.9873417721518988;0.012658227848101222;0.025
Geolife University;STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;holdout;0.773109243697479;0.9166666666666666;0.825;0.8684210526315789;0.9620253164556962;0.03797468354430378;0.08333333333333333
Geolife University;STOP_REGION;wDFClassifierTest;cross-validation;0.9222222222222222;0.8630952380952381;0.9004761904761904;0.8807389162561577;0.9730899529992089;0.026910047000791092;0.13690476190476192
Geolife University;STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;holdout;0.4369747899159664;0.3333333333333333;0.25;0.28571428571428575;0.7468354430379747;0.25316455696202533;0.6666666666666666
