test-type;dataset;stop-semantic;measure;Accuracy;Precision;Recall;F-Measure;Specificity;Fall-out;FDR
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;CVTIClassifierTest;0.25;1.0;0.0;0.0;1.0;0.0;0.0
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;DTWClassifierTest;0.43;0.8;0.00909090909090909;0.01739130434782609;0.980952380952381;0.019047619047619046;0.2
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;0.8;0.8784109730848861;0.8929163818637502;0.8815060908084165;0.8745819093187513;0.1254180906812486;0.12158902691511386
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;0.6199999999999999;0.7891353383458647;0.7335247208931419;0.7571786420566908;0.8069127363864206;0.1930872636135794;0.21086466165413534
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;ERPClassifierTest;0.43;0.6620238095238095;0.45575757575757575;0.5343918447144254;0.7691136933242196;0.23088630667578033;0.33797619047619043
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;HCSSClassifierTest;0.7700000000000001;0.8990530995006699;0.9392800182273866;0.9173266064676456;0.8930530872636135;0.10694691273638646;0.10094690049933015
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_AngleClassifierTest;0.54;0.6;0.04105263157894737;0.07445887445887447;0.9598997493734336;0.040100250626566414;0.4
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;0.54;0.6;0.04105263157894737;0.07445887445887447;0.9598997493734336;0.040100250626566414;0.4
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;0.99;0.9809090909090908;1.0;0.9902206320810972;0.9799498746867167;0.020050125313283228;0.019090909090909092
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_PointsClassifierTest;0.8799999999999999;0.9432900432900432;0.9402825244930508;0.9398405659381268;0.9408088402825246;0.0591911597174755;0.05670995670995671
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;0.53;0.6377777777777778;0.30344953292321714;0.40247038422789255;0.8448644338118022;0.15513556618819777;0.36222222222222217
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;LCSSClassifierTest;0.5;0.6673504273504274;0.4700637958532695;0.545041470658169;0.7691136933242196;0.23088630667578033;0.3326495726495726
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;LiuSchneiderClassifierTest;0.01;0.3407530828423323;0.49706083390293915;0.39736044731408315;0.21546821599453175;0.7845317840054682;0.6592469171576677
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;MSMClassifierTest;0.21000000000000002;0.5254150702426565;0.6657188425609479;0.5818357131035246;0.40280929596719073;0.5971907040328093;0.47458492975734357
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;0.25;1.0;0.0;0.0;1.0;0.0;0.0
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;SWALEClassifierTest;0.6599999999999999;0.7339037433155081;0.7321895648211438;0.7313045776460412;0.7386306675780359;0.26136933242196403;0.266096256684492
cross-validation;San Francisco cab (Directed Regions);STOP_REGION;wDFClassifierTest;0.71;0.8433766233766233;0.7988425609478241;0.812059460858246;0.8435725677830941;0.15642743221690592;0.15662337662337664
holdout;San Francisco cab (Directed Regions);STOP_REGION;CVTIClassifierTest;0.21875;0.47761194029850745;1.0;0.6464646464646464;0.0;1.0;0.5223880597014925
holdout;San Francisco cab (Directed Regions);STOP_REGION;DTWClassifierTest;0.5625;0.6976744186046512;0.9375;0.8000000000000002;0.6285714285714286;0.37142857142857144;0.3023255813953488
holdout;San Francisco cab (Directed Regions);STOP_REGION;DTWaClassifierTest;0.8125;0.8529411764705882;0.90625;0.8787878787878787;0.8571428571428571;0.1428571428571429;0.14705882352941177
holdout;San Francisco cab (Directed Regions);STOP_REGION;EDRClassifierTest;0.71875;0.8387096774193549;0.8125;0.8253968253968254;0.8571428571428571;0.1428571428571429;0.16129032258064516
holdout;San Francisco cab (Directed Regions);STOP_REGION;ERPClassifierTest;0.625;0.5909090909090909;0.40625;0.4814814814814815;0.7428571428571429;0.2571428571428571;0.4090909090909091
holdout;San Francisco cab (Directed Regions);STOP_REGION;HCSSClassifierTest;0.75;0.9666666666666667;0.90625;0.9354838709677419;0.9714285714285714;0.02857142857142858;0.03333333333333333
holdout;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_AngleClassifierTest;0.53125;0.675;0.84375;0.75;0.6285714285714286;0.37142857142857144;0.325
holdout;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_DistanceClassifierTest;0.53125;0.675;0.84375;0.75;0.6285714285714286;0.37142857142857144;0.325
holdout;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_EllipsesClassifierTest;1.0;1.0;1.0;1.0;1.0;0.0;0.0
holdout;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_PointsClassifierTest;0.90625;0.9090909090909091;0.9375;0.923076923076923;0.9142857142857143;0.08571428571428574;0.09090909090909091
holdout;San Francisco cab (Directed Regions);STOP_REGION;H_MSM_StopMove_TemporalDurationClassifierTest;0.40625;0.6388888888888888;0.71875;0.676470588235294;0.6285714285714286;0.37142857142857144;0.3611111111111111
holdout;San Francisco cab (Directed Regions);STOP_REGION;LCSSClassifierTest;0.46875;0.7222222222222222;0.8125;0.7647058823529411;0.7142857142857143;0.2857142857142857;0.2777777777777778
holdout;San Francisco cab (Directed Regions);STOP_REGION;LiuSchneiderClassifierTest;0.0;0.3829787234042553;0.5625;0.45569620253164556;0.17142857142857143;0.8285714285714285;0.6170212765957447
holdout;San Francisco cab (Directed Regions);STOP_REGION;MSMClassifierTest;0.28125;0.45652173913043476;0.65625;0.5384615384615383;0.2857142857142857;0.7142857142857143;0.5434782608695652
holdout;San Francisco cab (Directed Regions);STOP_REGION;MSTPClassifierTest;0.21875;0.47761194029850745;1.0;0.6464646464646464;0.0;1.0;0.5223880597014925
