dataset;measure;classification-measure;test-type;value
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;accuracy;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;accuracy;cross-validation;0.15428571428571428
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;precision;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;specificity;holdout;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;fall-out;holdout;0.09999999999999998
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;false-discovery-rate;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;precision;cross-validation;0.1
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;recall;cross-validation;0.26666666666666666
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;f-measure;cross-validation;0.13714285714285715
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;specificity;cross-validation;0.5476190476190477
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;fall-out;cross-validation;0.4523809523809524
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveDistanceClassifierTest;false-discovery-rate;cross-validation;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;accuracy;holdout;0.5833333333333334
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;accuracy;cross-validation;0.07714285714285714
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;precision;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;recall;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;f-measure;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;specificity;holdout;0.9
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;fall-out;holdout;0.09999999999999998
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;false-discovery-rate;holdout;0.5
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;precision;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;recall;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;f-measure;cross-validation;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;specificity;cross-validation;0.480952380952381
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;fall-out;cross-validation;0.5190476190476192
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMMoveAngleClassifierTest;false-discovery-rate;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;accuracy;holdout;0.25
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;accuracy;cross-validation;0.18285714285714283
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;precision;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;recall;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;f-measure;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;specificity;holdout;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;fall-out;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;false-discovery-rate;holdout;0.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;precision;cross-validation;1.0
Pisa (Users [1, 2, 3, 4, 5, 6, 7]);MSMClassifierTest;recall;cross-validation;0.0
