"city","country","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","cond","fog","rain","snow","hail","thunder","tornado","tempCelsius","wid"
"Rio de Janeiro","Brazil",2004-06-28 00:00:00,73.4,68,83,4.6,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,23,1
"Rio de Janeiro","Brazil",2004-06-28 01:00:00,73.4,68,83,5.8,NA,"NNE",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,23,2
"Rio de Janeiro","Brazil",2004-06-28 02:00:00,71.6,68,88,5.8,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,22,3
"Rio de Janeiro","Brazil",2004-06-28 03:00:00,69.8,68,94,5.8,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,21,4
"Rio de Janeiro","Brazil",2004-06-28 04:00:00,69.8,68,94,9.2,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,21,5
"Rio de Janeiro","Brazil",2004-06-28 05:00:00,69.8,68,94,8.1,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,21,6
"Rio de Janeiro","Brazil",2004-06-28 06:00:00,69.8,68,94,6.9,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,21,7
"Rio de Janeiro","Brazil",2004-06-28 07:00:00,71.6,68,88,5.8,NA,"North",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,22,8
"Rio de Janeiro","Brazil",2004-06-28 08:00:00,73.4,69.8,88,9.2,NA,"North",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,23,9
"Rio de Janeiro","Brazil",2004-06-28 09:00:00,75.2,69.8,83,8.1,NA,"North",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,24,10
"Rio de Janeiro","Brazil",2004-06-28 10:00:00,75.2,71.6,89,5.8,NA,"North",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,24,11
"Rio de Janeiro","Brazil",2004-06-28 11:00:00,77,71.6,83,5.8,NA,"NE",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,25,12
"Rio de Janeiro","Brazil",2004-06-28 12:00:00,78.8,71.6,78,5.8,NA,"NNE",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,26,13
"Rio de Janeiro","Brazil",2004-06-28 13:00:00,80.6,66.2,61,4.6,NA,"SSE",NA,30.04,NA,82.7,NA,"Clear",0,0,0,0,0,0,27,14
"Rio de Janeiro","Brazil",2004-06-28 14:00:00,80.6,68,65,6.9,NA,"South",6.2,30.01,NA,83.2,NA,"Mostly Cloudy",0,0,0,0,0,0,27,15
"Rio de Janeiro","Brazil",2004-06-28 15:00:00,78.8,68,69,9.2,NA,"SSE",6.2,30.01,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0,26,16
"Rio de Janeiro","Brazil",2004-06-28 16:00:00,78.8,66.2,65,6.9,NA,"SSE",6.2,30.01,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0,26,17
"Rio de Janeiro","Brazil",2004-06-28 17:00:00,77,62.6,61,8.1,NA,"South",6.2,30.04,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0,25,18
"Rio de Janeiro","Brazil",2004-06-28 18:00:00,77,64.4,65,8.1,NA,"South",NA,30.04,NA,NA,NA,"Clear",0,0,0,0,0,0,25,19
"Rio de Janeiro","Brazil",2004-06-28 19:00:00,75.2,66.2,73,8.1,NA,"South",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,24,20
"Rio de Janeiro","Brazil",2004-06-28 20:00:00,75.2,64.4,69,6.9,NA,"South",NA,30.06,NA,NA,NA,"Clear",0,0,0,0,0,0,24,21
"Rio de Janeiro","Brazil",2004-06-28 21:00:00,75.2,64.4,69,4.6,NA,"South",NA,30.09,NA,NA,NA,"Clear",0,0,0,0,0,0,24,22
"Rio de Janeiro","Brazil",2004-06-28 22:00:00,75.2,62.6,65,4.6,NA,"South",NA,30.09,NA,NA,NA,"Clear",0,0,0,0,0,0,24,23
"Rio de Janeiro","Brazil",2004-06-28 23:00:00,73.4,64.4,73,4.6,NA,"SSE",6.2,30.09,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0,23,24
"Rio de Janeiro","Brazil",2004-07-20 00:00:00,60.8,59,94,6.9,NA,"ENE",2.5,30.27,NA,NA,NA,"Light Rain",0,1,0,0,0,0,16,25
"Rio de Janeiro","Brazil",2004-07-20 01:00:00,60.8,59,94,6.9,NA,"East",2.5,30.24,NA,NA,NA,"Overcast",0,0,0,0,0,0,16,26
"Rio de Janeiro","Brazil",2004-07-20 02:00:00,60.8,59,94,8.1,NA,"ENE",2.5,30.21,NA,NA,NA,"Light Rain",0,1,0,0,0,0,16,27
"Rio de Janeiro","Brazil",2004-07-20 03:00:00,60.8,59,94,3.5,NA,"NNW",3.1,30.21,NA,NA,NA,"Light Drizzle",0,0,0,0,0,0,16,28
"Rio de Janeiro","Brazil",2004-07-20 04:00:00,59,57.2,94,5.8,NA,"SSW",3.1,30.18,NA,NA,NA,"Overcast",0,0,0,0,0,0,15,29
"Rio de Janeiro","Brazil",2004-07-20 05:00:00,59,57.2,94,3.5,NA,"SSE",3.7,30.18,NA,NA,NA,"Overcast",0,0,0,0,0,0,15,30
"Rio de Janeiro","Brazil",2004-07-20 06:00:00,59,59,100,2.3,NA,"South",3.1,30.21,NA,NA,NA,"Light Rain",0,1,0,0,0,0,15,31
"Rio de Janeiro","Brazil",2004-07-20 07:00:00,60.8,59,94,5.8,NA,"ESE",3.1,30.21,NA,NA,NA,"Light Drizzle",0,0,0,0,0,0,16,32
