Folder_id;Start Time;End Time;Transportation Mode
11;2007/06/26 11:32:29;2007/06/26 11:40:29;bus
11;2008/03/28 14:52:54;2008/03/28 15:59:59;train
11;2008/03/28 16:00:00;2008/03/28 22:02:00;train
11;2008/03/29 01:27:50;2008/03/29 15:59:59;train
11;2008/03/29 16:00:00;2008/03/30 15:59:59;train
11;2008/03/30 16:00:00;2008/03/31 03:13:11;train
11;2008/03/31 04:17:59;2008/03/31 15:31:06;train
11;2008/03/31 16:00:08;2008/03/31 16:09:01;taxi
11;2008/03/31 17:26:04;2008/04/01 00:35:26;train
11;2008/04/01 00:48:32;2008/04/01 00:59:23;taxi
11;2008/04/01 01:00:22;2008/04/01 01:08:13;walk
11;2008/04/01 03:46:35;2008/04/01 03:54:28;taxi
11;2008/04/01 04:15:38;2008/04/01 11:06:16;train
11;2008/04/01 11:22:47;2008/04/01 11:28:39;taxi
11;2008/04/01 11:30:37;2008/04/01 11:35:35;walk
11;2008/04/02 06:09:26;2008/04/02 06:28:25;walk
11;2008/04/02 06:30:57;2008/04/02 06:34:20;taxi
11;2008/04/02 11:24:21;2008/04/02 11:50:45;bus
11;2008/04/03 01:07:03;2008/04/03 11:31:55;train
11;2008/04/03 11:32:24;2008/04/03 11:46:14;walk
11;2008/04/03 11:47:14;2008/04/03 11:55:07;taxi
11;2008/04/03 11:56:06;2008/04/03 12:06:00;walk
11;2008/04/03 13:55:24;2008/04/03 14:01:49;taxi
11;2008/04/03 15:31:51;2008/04/03 15:59:59;train
11;2008/04/03 16:00:00;2008/04/04 04:13:22;train
11;2008/04/04 04:27:25;2008/04/04 04:30:50;walk
11;2008/04/04 04:31:28;2008/04/04 05:03:35;taxi
11;2008/04/04 07:16:50;2008/04/04 07:53:00;taxi
11;2008/04/04 08:49:13;2008/04/04 15:59:59;train
11;2008/04/04 16:00:00;2008/04/05 03:31:39;train
11;2008/04/05 11:22:47;2008/04/05 15:59:59;train
11;2008/04/05 16:00:00;2008/04/06 01:20:15;train
11;2008/04/06 01:25:48;2008/04/06 01:27:46;walk
11;2008/04/06 03:05:04;2008/04/06 04:58:38;train
11;2008/04/06 06:14:26;2008/04/06 09:19:10;train
11;2008/04/06 09:30:20;2008/04/06 10:21:26;bus
11;2008/05/18 07:24:54;2008/05/18 08:03:44;bus
11;2008/05/19 05:50:03;2008/05/19 07:48:08;bus
11;2008/06/13 21:18:47;2008/06/13 21:31:09;walk
11;2008/06/13 21:42:07;2008/06/13 21:43:26;walk
11;2008/06/13 21:44:53;2008/06/13 21:46:10;walk
11;2008/06/15 22:16:50;2008/06/15 23:17:42;train
11;2008/06/16 01:29:12;2008/06/16 02:03:10;bus
11;2008/06/16 02:31:34;2008/06/16 02:33:03;walk
11;2008/06/16 02:37:05;2008/06/16 02:38:12;walk
11;2008/06/16 02:39:29;2008/06/16 02:40:08;walk
11;2008/06/16 02:45:24;2008/06/16 02:49:40;walk
11;2008/06/16 03:29:57;2008/06/16 03:30:50;walk
11;2008/06/16 03:38:10;2008/06/16 03:39:45;walk
11;2008/06/16 03:43:15;2008/06/16 03:44:59;walk
11;2008/06/16 06:56:53;2008/06/16 07:11:24;walk
11;2008/06/16 09:48:38;2008/06/16 10:29:11;train
11;2008/06/16 10:34:10;2008/06/16 10:48:05;walk
11;2008/06/17 09:44:44;2008/06/17 10:16:27;bus
11;2008/06/17 10:53:07;2008/06/17 11:00:07;walk
11;2008/06/17 11:08:12;2008/06/17 12:22:21;train
11;2008/06/17 12:22:31;2008/06/17 12:29:51;walk
11;2008/06/17 12:30:29;2008/06/17 12:37:19;taxi
11;2008/06/18 00:34:09;2008/06/18 00:39:43;walk
11;2008/06/18 00:40:07;2008/06/18 00:53:20;taxi
11;2008/06/18 01:10:14;2008/06/18 03:23:49;train
11;2008/06/18 03:44:57;2008/06/18 03:52:35;walk
11;2008/06/18 03:58:05;2008/06/18 04:12:51;bus
11;2008/06/18 04:46:10;2008/06/18 04:54:59;subway
11;2008/06/18 05:13:38;2008/06/18 05:15:18;bus
11;2008/06/18 12:10:33;2008/06/18 12:20:44;walk
